Beetle Juice,92 min,(1988),"Comedy, Fantasy",7.5,Tim Burton,"Alec Baldwin , Geena Davis , Michael Keaton , Annie McEnroe , ","The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out."
In the Dark,42 min,(2019,"Action, Crime, Horror",7.5,Perry Mattfeld,"Brooke Markham , Morgan Krantz , Casey Deidrick , ",A blind young woman tries to solve her friend's murder.
Black Mirror,60 min,(2011,"Drama, Sci-Fi, Thriller",8.8,Daniel Lapaine,"Hannah John-Kamen , Michaela Coel , Beatrice Robertson-Jones , ","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Chicago Med,43 min,(2015,Drama,7.6,Nick Gehlfuss,"Marlyne Barrett , Oliver Platt , S. Epatha Merkerson , ","The city's most highly skilled medical team saves lives, while navigating their unique interpersonal relationships."
Mr. Robot,49 min,(2015-2019),"Crime, Drama, Thriller",8.5,Rami Malek,"Christian Slater , Carly Chaikin , Martin Wallström , ","Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
The Big Bang Theory,22 min,(2007-2019),"Comedy, Romance",8.1,Johnny Galecki,"Jim Parsons , Kaley Cuoco , Simon Helberg , ",A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.
Modern Family,22 min,(2009-2020),"Comedy, Drama, Romance",8.4,Ed O'Neill,"Sofía Vergara , Julie Bowen , Ty Burrell , ",Three different but related families face trials and tribulations in their own uniquely comedic ways.
New Amsterdam,43 min,(2018,Drama,8.1,Ryan Eggold,"Janet Montgomery , Freema Agyeman , Jocko Sims , ",A new medical director breaks the rules to heal the system at America's oldest public hospital.
Billions,60 min,(2016,Drama,8.4,Paul Giamatti,"Damian Lewis , Maggie Siff , David Costabile , ","U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures."
Midsommar,148 min,(2019),"Drama, Horror, Mystery",7.1,Ari Aster,"Florence Pugh , Jack Reynor , Vilhelm Blomgren , William Jackson Harper , ",A couple travels to Scandinavia to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.
Venom,112 min,(2018),"Action, Adventure, Sci-Fi",6.7,Ruben Fleischer,"Tom Hardy , Michelle Williams , Riz Ahmed , Scott Haze , ","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it."
The Simpsons,22 min,(1989,"Animation, Comedy",8.6,Dan Castellaneta,"Nancy Cartwright , Harry Shearer , Julie Kavner , ",The satiric adventures of a working-class family in the misfit city of Springfield.
Legacies,45 min,(2018,"Adventure, Drama, Fantasy",7.4,Danielle Rose Russell,"Aria Shahghasemi , Quincy Fouse , Matthew Davis , ","Hope Mikaelson, a tribrid daughter of a Vampire/Werewolf hybrid, makes her way in the world."
Better Call Saul,46 min,(2015-2022),"Crime, Drama",8.8,Bob Odenkirk,"Rhea Seehorn , Jonathan Banks , Patrick Fabian , ","The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico."
Midsomer Murders,90 min,(1997,"Crime, Drama, Mystery",7.8,John Nettles,"Jane Wymark , Barry Jackson , Neil Dudgeon , ",A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.
Young Sheldon,30 min,(2017,Comedy,7.5,Iain Armitage,"Zoe Perry , Lance Barber , Montana Jordan , ",Meet a child genius named Sheldon Cooper; (already seen as an adult in The Big Bang Theory (2007)) and his family. Some unique challenges face Sheldon who seems socially impaired.
It,135 min,(I) (2017),Horror,7.3,Andy Muschietti,"Bill Skarsgård , Jaeden Martell , Finn Wolfhard , Sophia Lillis , ","In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
Rick and Morty,23 min,(2013,"Animation, Adventure, Comedy",9.2,Justin Roiland,"Chris Parnell , Spencer Grammer , Sarah Chalke , ",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Casino Royale,144 min,(2006),"Action, Adventure, Thriller",8.0,Martin Campbell,"Daniel Craig , Eva Green , Judi Dench , Jeffrey Wright , ","After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
Interstellar,169 min,(2014),"Adventure, Drama, Sci-Fi",8.6,Christopher Nolan,"Matthew McConaughey , Anne Hathaway , Jessica Chastain , Mackenzie Foy , ",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Crown,58 min,(2016,"Biography, Drama, History",8.6,Claire Foy,"Olivia Colman , Imelda Staunton , Matt Smith , ",Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.
It's Always Sunny in Philadelphia,22 min,(2005,Comedy,8.8,Charlie Day,"Glenn Howerton , Rob McElhenney , Kaitlin Olson , ",Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.
Legends of Tomorrow,42 min,(2016,"Action, Adventure, Drama",6.8,Caity Lotz,"Amy Louise Pemberton , Dominic Purcell , Nick Zano , ","Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time."
Outlander,60 min,(2014,"Drama, Fantasy, Romance",8.4,Caitriona Balfe,"Sam Heughan , Duncan Lacroix , Sophie Skelton , ",An English combat nurse from 1945 is mysteriously swept back in time to 1743.
Ghostbusters,105 min,(1984),"Action, Comedy, Fantasy",7.8,Ivan Reitman,"Bill Murray , Dan Aykroyd , Sigourney Weaver , Harold Ramis , ","Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
Kaubôi bibappu,24 min,(1998-1999),"Animation, Action, Adventure",8.9,Kôichi Yamadera,"Unshô Ishizuka , Megumi Hayashibara , Steve Blum , ",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
The King,140 min,(I) (2019),"Biography, Drama, History",7.3,David Michôd,"Tom Glynn-Carney , Gábor Czap , Tom Fisher , Edward Ashley , ","Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life."
Goliath,60 min,(2016-2021),Drama,8.2,Billy Bob Thornton,"Nina Arianda , Tania Raymonde , Diana Hopper , ","A disgraced lawyer, now an ambulance chaser, gets a case that could bring him redemption or at least revenge on the firm which expelled him."
Ozark,60 min,(2017-2022),"Crime, Drama, Thriller",8.4,Jason Bateman,"Laura Linney , Sofia Hublitz , Skylar Gaertner , ","A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
Poltergeist,114 min,(1982),"Horror, Thriller",7.3,Tobe Hooper,"JoBeth Williams , Heather O'Rourke , Craig T. Nelson , Beatrice Straight , ",A family's home is haunted by a host of demonic ghosts.
Chicago P.D.,43 min,(2014,"Action, Crime, Drama",8.1,Jason Beghe,"Jesse Lee Soffer , Patrick John Flueger , Marina Squerciati , ","Follows District 21 of the Chicago Police Department, which is made up of two distinctly different groups: the uniformed cops and the Intelligence Unit."
The Last Kingdom,60 min,(2015,"Action, Drama, History",8.4,Alexander Dreymon,"Eliza Butterworth , Arnas Fedaravicius , Millie Brady , ","As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright."
The Flash,43 min,(2014,"Action, Adventure, Drama",7.6,Grant Gustin,"Candice Patton , Danielle Panabaker , Carlos Valdes , ","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City."
Harry Potter and the Sorcerer's Stone,152 min,(2001),"Adventure, Family, Fantasy",7.6,Chris Columbus,"Daniel Radcliffe , Rupert Grint , Richard Harris , Maggie Smith , ","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
Once Upon a Time... in Hollywood,161 min,(2019),"Comedy, Drama",7.6,Quentin Tarantino,"Leonardo DiCaprio , Brad Pitt , Margot Robbie , Emile Hirsch , ",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
Halloween,109 min,(2007),Horror,6.1,Rob Zombie,"Scout Taylor-Compton , Malcolm McDowell , Tyler Mane , Brad Dourif , ","After being committed for 17 years, Michael Myers, now a grown man and still very dangerous, escapes from the mental institution and immediately returns to Haddonfield to find his baby sister, Laurie."
Spectre,148 min,(I) (2015),"Action, Adventure, Thriller",6.8,Sam Mendes,"Daniel Craig , Christoph Waltz , Léa Seydoux , Ralph Fiennes , ","A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions."
The Addams Family,99 min,(1991),"Comedy, Fantasy",6.9,Barry Sonnenfeld,"Anjelica Huston , Raul Julia , Christopher Lloyd , Dan Hedaya , ",Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.
Suits,44 min,(2011-2019),"Comedy, Drama",8.4,Gabriel Macht,"Patrick J. Adams , Meghan Markle , Sarah Rafferty , ","On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers."
Supergirl,43 min,(2015-2021),"Action, Adventure, Drama",6.2,Melissa Benoist,"Chyler Leigh , David Harewood , Katie McGrath , ",The adventures of Superman's cousin in her own superhero career.
Friday the 13th,95 min,(1980),"Horror, Mystery, Thriller",6.4,Sean S. Cunningham,"Betsy Palmer , Adrienne King , Jeannine Taylor , Robbi Morgan , ","A group of camp counselors trying to reopen a summer camp called Crystal Lake, which has a grim past, are stalked by a mysterious killer."
Parks and Recreation,22 min,(2009-2015),Comedy,8.6,Amy Poehler,"Jim O'Heir , Nick Offerman , Chris Pratt , ",The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.
How I Met Your Mother,22 min,(2005-2014),"Comedy, Romance",8.3,Josh Radnor,"Jason Segel , Cobie Smulders , Neil Patrick Harris , ",A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.
Shingeki no kyojin,24 min,(2013-2022),"Animation, Action, Adventure",9.0,Yûki Kaji,"Marina Inoue , Josh Grelle , Yui Ishikawa , ","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
The Shining,146 min,(1980),"Drama, Horror",8.4,Stanley Kubrick,"Jack Nicholson , Shelley Duvall , Danny Lloyd , Scatman Crothers , ","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
